"sp_rich","family_rich","one_area","lon","lat"
3446,170,"MSI",-89.67327133,32.75582597
727,65,"WSA",-13.13671746,24.66158211
1706,133,"WDC",-77.00958958,38.91161048
2653,126,"TAS",146.60099785,-41.94278478
644,89,"NFK",166.14447719,-29.5504624
666,95,"OGA",142.11780321,27.00808255
374,70,"ROD",63.41351669,-19.71779026
1578,131,"MAU",57.55521154,-20.19562027
1585,117,"REU",55.53821274,-21.12162946
516,82,"SWC",-85.14144436,15.43870928
2574,96,"RUW",31.24102708,58.78055976
367,60,"CPI",-91.88643742,6.54628736
2729,108,"EGY",29.5313701,26.35781079
2114,94,"SIN",33.7680386,29.70447198
677,54,"KUW",47.59352635,29.34250656
1428,87,"MDR",-16.94699093,32.76736726
198,32,"SEL",-15.86268648,30.14296023
988,77,"CVI",-24.10306511,15.98732286
2900,178,"NNS",126.69988975,25.77340564
1777,101,"HAW",-156.38217405,20.27443257
412,54,"SCS",114.31825438,13.0701461
456,76,"SCZ",166.22404932,-10.99208387
336,41,"ATP",167.92708201,-50.99242823
90,21,"MAQ",158.89216763,-54.61329532
238,46,"KER",-177.91545581,-29.28166035
585,77,"MRQ",-139.5863238,-9.36553616
1291,80,"GST",53.87451176,24.12052144
374,52,"LDV",72.88334884,9.90759108
323,51,"MDV",73.25213838,3.37168094
757,97,"SEY",55.5220677,-4.70189448
112,30,"CGS",72.28982912,-7.08125134
141,36,"MCI",44.84032317,-14.52701328
441,66,"XMS",105.70369832,-10.44411526
329,30,"SVA",18.37151643,78.8294471
48,14,"WAK",166.63819096,19.30151617
406,63,"ALD",46.38345351,-9.41280779
158,37,"CKI",96.85559708,-12.17188243
197,45,"GIL",174.32170363,-0.07562792
58,18,"PHX",-171.7279731,-3.41946731
123,33,"TOK",-164.67014717,-9.77076203
110,34,"TUV",178.20111019,-7.58736001
101,28,"LIN",-157.22793338,0.83354452
21,7,"MCS",153.95267938,24.30723325
59,16,"DSV",-79.9604038,-26.31159103
359,57,"KZN",141.30860869,24.93904505
575,68,"CTM",-176.50297373,-43.95966231
81,15,"EAS",-109.31588061,-27.11727497
327,55,"FAL",-59.37234604,-51.7398244
366,68,"BER",-64.75637722,32.31349498
150,29,"STH",-5.71727532,-15.96202459
167,28,"TDC",-11.15734365,-38.66545461
22,9,"HMD",73.49727342,-53.09067804
63,17,"KEG",69.47951572,-49.28875155
47,16,"MPE",37.76015675,-46.85955871
46,16,"CRZ",51.61850122,-46.34319821
48,14,"SGE",-36.71862583,-54.3579816
66,17,"ASC",-14.3632866,-7.93807975
55,13,"ASP",77.53284994,-37.97877628
26,8,"HBI",-176.57804542,0.60503177
5,2,"SSA",-26.65310473,-58.17275834
5,2,"ANT",21.30394694,-80.44593994
