scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,broad_category,specific_category,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
Bombus vosnesenskii,Yellow-faced Bumble Bee,Insecta,57689,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus vosnesenskii,,,,
Megachile,"Leafcutter, Mortar, and Resin Bees",Insecta,52784,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,,,,,
Agapostemon,,Insecta,606634,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Agapostemon,NA,,,,,
Eumelissodes,,Insecta,563472,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Melissodes,NA,,,,,
Bombus pensylvanicus,American Bumble Bee,Insecta,56887,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus pensylvanicus,,,,
Xylocopa virginica,Eastern Carpenter Bee,Insecta,51110,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,NA,Xylocopa virginica,,,,
Halictinae,Sweat and Furrow bees,Insecta,134106,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,,,,NA,,,,,
Ceratina pacifica,Pacific Coast Small Carpenter,Insecta,361440,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,Ceratina pacifica,,,,
Bombus vagans,Half-black Bumble Bee,Insecta,128670,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus vagans,,,,
Bombus hortorum,Garden Bumble Bee,Insecta,121989,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus hortorum,,,,
Bombus lapidarius,Red-tailed Bumble Bee,Insecta,57619,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus lapidarius,,,,
Bombus,,Insecta,538903,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,,,,,
Xylocopa,,Insecta,571258,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,NA,,,,,
Andrena fulva,Tawny Mining Bee,Insecta,60579,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,NA,Andrena fulva,,,,
Pyrobombus,,Insecta,538900,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,,,,,
Bombus sylvarum,Shrill Carder-Bumble bee,Insecta,123657,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus sylvarum,,,,
Bombus bimaculatus,Two-spotted Bumble Bee,Insecta,52779,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus bimaculatus,,,,
Anthidium manicatum,European Woolcarder Bee,Insecta,62453,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Anthidium,NA,Anthidium manicatum,,,,
Bombus californicus,California Bumble Bee,Insecta,124420,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus californicus,,,,
Bombus melanopygus,Black-tailed Bumble Bee,Insecta,130222,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus melanopygus,,,,
Bombus mixtus,Fuzzy-Horned Bumble Bee,Insecta,319125,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus mixtus,,,,
Halictus rubicundus,Orange-legged Furrow Bee,Insecta,127747,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Halictus,NA,Halictus rubicundus,,,,
Agapostemon texanus,Texas Striped Sweat Bee,Insecta,133797,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Agapostemon,NA,Agapostemon texanus,,,,
Augochloropsis,,Insecta,82528,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Augochlorini,,Augochloropsis,NA,,,,,
Trigona,,Insecta,180367,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Meliponini,,Trigona,NA,,,,,
Dialictus,Metallic Sweat Bees,Insecta,126545,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Lasioglossum,NA,,,,,
Melissodes desponsus,Eastern Thistle Longhorn,Insecta,627202,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Melissodes,NA,Melissodes desponsus,,,,
Melissodes,,Insecta,52781,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Melissodes,NA,,,,,
Apinae,Apine Bees,Insecta,199939,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,,NA,,,,,
Diadasia enavata,Sunflower Chimney Bee,Insecta,135310,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Emphorini,,Diadasia,NA,Diadasia enavata,,,,
Svastra obliqua,Oblique Longhorn,Insecta,121504,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Svastra,NA,Svastra obliqua,,,,
Ectemnius,,Insecta,130131,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Crabronini,Crabronina,Ectemnius,NA,,,,,
Eulaema,,Insecta,84751,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Euglossini,,Eulaema,NA,,,,,
Bombus borealis,Northern Amber Bumble Bee,Insecta,143854,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus borealis,,,,
Meliponini,Stingless Bees,Insecta,200106,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Meliponini,,,NA,,,,,
Bombus rufocinctus,Red-belted Bumble Bee,Insecta,144011,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus rufocinctus,,,,
Halictus ligatus,Ligated Furrow Bee,Insecta,154298,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Halictus,NA,Halictus ligatus,,,,
Bombus flavifrons,Yellow-Fronted Bumble Bee,Insecta,119308,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus flavifrons,,,,
Megachiloides,,Insecta,571093,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,,,,,
Bombus huntii,Hunt's Bumble Bee,Insecta,154043,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus huntii,,,,
Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus impatiens,,,,
Melissodes agilis,Agile Long-horned Bee,Insecta,52780,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Melissodes,NA,Melissodes agilis,,,,
Augochlora pura,Pure Green Sweat bee,Insecta,82523,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Augochlorini,,Augochlora,NA,Augochlora pura,,,,
Synhalonia,,Insecta,578125,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Eucera,NA,,,,,
Pygoperdita,,Insecta,415166,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Panurginae,,Panurgini,Perditina,Perdita,NA,,,,,
Nomada,Nomad Bees,Insecta,53648,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Nomadini,,Nomada,NA,,,,,
Andrena milwaukeensis,Milwaukee Mining Bee,Insecta,198981,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,NA,Andrena milwaukeensis,,,,
Halictus farinosus,Wide-striped Sweat Bee,Insecta,318550,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Halictus,NA,Halictus farinosus,,,,
Sphex ichneumoneus,Great Golden Digger Wasp,Insecta,85362,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sphecinae,,Sphecini,,Sphex,NA,Sphex ichneumoneus,,,,
Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,Insecta,70000,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,NA,Xylocopa tabaniformis,,Xylocopa tabaniformis orpifex,,
Osmia montana,,Insecta,226675,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Osmiini,,Osmia,NA,Osmia montana,,,,
