"","(Intercept)","bee_rich","bio1","bio12","bio15","bio16","bio17","bio4","bio5","bio6","et0","srad","wind.1","df","logLik","AICc","delta","weight","rsqs"
"2128",1.08797913389104,9.67726765770294e-05,-0.000532389306614628,-9.79634223465345e-05,-0.00368187577474399,NA,NA,-3.74399275027745e-05,NA,NA,NA,NA,-0.0402241560556418,10,17.4796494772944,-4.95929895458887,12.4871021411219,6.59150749477062e-05,0.21
"2188",0.647628843726514,8.71552207939741e-05,-4.34882708729218e-05,NA,-0.00110913538280361,NA,NA,NA,-0.000344164639373021,NA,NA,NA,-0.0225148087106513,9,15.3909961429486,-4.9559053293754,12.4904957663354,6.58033242543664e-05,0.108
"2250",0.648624027175531,8.75334249718536e-05,NA,NA,-0.00110711955075465,NA,NA,6.17201985379665e-07,-0.000385391803326147,NA,NA,NA,-0.0222366347264854,9,15.3902529207259,-4.95441888493015,12.4919822107807,6.57544359311524e-05,0.108
"2841",0.873555189451217,NA,NA,NA,-0.00157996609397925,-0.00016956191988307,NA,NA,NA,0.000126293737672001,-7.52876239221926e-05,NA,-0.0311352333416004,9,15.3866673887867,-4.94724782105167,12.4991532746591,6.55190934670662e-05,0.11
"2088",0.567296120949914,8.12036512088985e-05,-0.000129560445366049,-6.4220425323393e-05,NA,NA,0.000317709201037491,NA,NA,NA,NA,NA,-0.0317311258034541,9,15.3861840254446,-4.9462810943675,12.5001200013433,6.5487431591789e-05,0.108
"2124",0.637664494942476,8.6161290132545e-05,-0.000394115177029003,NA,-0.00115430468580488,NA,NA,-6.66667093839263e-06,NA,NA,NA,NA,-0.0232401554033783,9,15.385937557231,-4.94578815794019,12.5006129377706,6.5471293010413e-05,0.108
"159",0.815201761145566,NA,0.000769011423985938,-0.000163552931414453,-0.00339835150690972,0.000267800963280341,NA,NA,-0.00064722474990452,NA,NA,NA,NA,9,15.3854058198548,-4.94472468318779,12.501676412523,6.54364887310394e-05,0.11
"873",0.834011056318025,NA,NA,NA,-0.00302651978973446,NA,-0.000494046938292596,5.37502714482196e-06,NA,0.000404796254807737,-9.02892606634051e-05,NA,NA,9,15.384046414578,-4.94200587263419,12.5043952230766,6.53475944583245e-05,0.111
"621",0.93465019722833,NA,NA,-4.63193093665224e-05,-0.00331345486383563,NA,-0.000239514301898178,-1.85906521652665e-05,NA,NA,-6.03606238798511e-05,NA,NA,9,15.382896250393,-4.9397055442643,12.5066955514465,6.52724772024758e-05,0.111
"2254",1.09580765693372,9.83378530273092e-05,NA,-9.74367482267863e-05,-0.00359960479921792,NA,NA,-2.74339676563354e-05,-0.000507235097757387,NA,NA,NA,-0.0384617875914422,10,17.4656640181497,-4.93132803629945,12.5150730594114,6.49996386793041e-05,0.209
"2342",0.543741325975398,8.06059272144242e-05,NA,-6.4215644590677e-05,NA,NA,0.000314566182712557,NA,NA,-6.02685455767669e-05,NA,NA,-0.0292645570303802,9,15.3645934170975,-4.90309987767324,12.5433012180376,6.40886724708579e-05,0.107
"742",0.636912782364329,0.000153750806685878,NA,-0.000144369763294323,NA,NA,0.000606865064223316,-2.23929903692731e-05,0.00108577783362024,NA,-0.00025632392110151,NA,NA,10,17.4499603710027,-4.89992074200548,12.5464803537053,6.39868801029525e-05,0.212
"2713",0.817043404390645,NA,NA,NA,-0.00143342056055589,-0.000151023261709256,NA,NA,0.000172404210199323,NA,-7.99559960496991e-05,NA,-0.029540142728623,9,15.3587450414677,-4.8914031264137,12.5549979692971,6.37149517354681e-05,0.109
"2265",0.975762056467619,NA,NA,NA,-0.00202203913042918,-0.000187322513849907,NA,-9.94528324968177e-06,-0.000380626159914422,NA,NA,NA,-0.0442374310728505,9,15.3450686463843,-4.86405033624695,12.5823507594639,6.28494925535207e-05,0.107
"1737",1.21555766733838,NA,NA,NA,-0.00133955968362674,NA,NA,-7.22872935295862e-06,-0.000662080529076106,NA,0.000197336549338983,-4.42571069690839e-05,NA,9,15.3405727721738,-4.85505858782592,12.5913425078849,6.25675633747507e-05,0.109
"413",0.816167485577116,NA,NA,-0.000176008276997321,-0.00349325414496916,0.000306280947528276,NA,NA,-0.000278755913685461,0.000411275984220164,NA,NA,NA,9,15.3326388491112,-4.83919074170072,12.6072103540101,6.20731211675769e-05,0.108
"2316",0.601358798113759,7.96231977726413e-05,-0.00034011853269056,NA,-0.00102034879164111,NA,NA,NA,NA,5.3460582971061e-05,NA,NA,-0.0232925753638716,9,15.3255705580658,-4.8250541596099,12.6213469361009,6.16359172436091e-05,0.104
"754",0.655870496251513,0.000154877706419317,NA,NA,NA,-0.000266686048137933,0.000180005783445958,-2.14457341338909e-05,0.00114267835343135,NA,-0.000273219136656056,NA,NA,10,17.3975708684859,-4.7951417369718,12.651259358739,6.0720936816581e-05,0.21
"2162",0.563936233234177,8.9886557790189e-05,NA,NA,NA,-0.000147309204344865,0.000143155153337486,-6.38980614812492e-06,NA,NA,NA,NA,-0.0267232821385652,9,15.3101665349653,-4.79424611340885,12.652154982302,6.06937513531319e-05,0.103
"2100",0.579425645376686,8.0534702159264e-05,-0.000167262344474749,NA,NA,-0.000110846037285029,0.000122600209241506,NA,NA,NA,NA,NA,-0.0330623008830633,9,15.3068097546963,-4.78753255287091,12.6588685428399,6.04903573316457e-05,0.104
"1326",1.00940265919698,9.03700995597716e-05,NA,-6.29320622811848e-05,-0.00185827844397493,NA,5.84988653712736e-05,NA,NA,0.00038117372899649,NA,-2.52965725565203e-05,NA,10,17.3869755956543,-4.77395119130857,12.6724499044022,6.00809781793906e-05,0.207
"2196",0.651432035351569,8.8813194945236e-05,0.000250130709528537,NA,NA,-9.89259483076845e-05,NA,NA,-0.0005369940275941,NA,NA,NA,-0.0313789909631456,9,15.2989078721293,-4.77172878773678,12.674672307974,6.00142531684807e-05,0.104
"1803",1.20791433494063,NA,-0.00129306901926822,NA,-0.00115557481479444,NA,NA,NA,NA,0.000846143974559184,0.000163382370018306,-4.39950524667614e-05,NA,9,15.2958044309809,-4.76552190544006,12.6808791902708,5.98282911760146e-05,0.106
"1929",1.19637830645343,NA,NA,NA,-0.00124494952519729,NA,NA,NA,-0.000755957805002593,0.000157314824533815,0.000187593993446081,-4.29939904092168e-05,NA,9,15.2950629001299,-4.76403884373806,12.6823622519728,5.97839430971116e-05,0.106
"1310",1.01209785072218,8.90033966609329e-05,NA,-5.22956924483274e-05,-0.00194555745586001,-1.13047664782821e-05,NA,NA,NA,0.000376026250961751,NA,-2.50657158727525e-05,NA,10,17.3787763592775,-4.75755271855509,12.6888483771557,5.95903740755626e-05,0.207
"3342",1.01126845076203,8.88759555771365e-05,NA,-5.63246917876564e-05,-0.00198428379550065,NA,NA,NA,NA,0.000383096949389569,NA,-2.511604062064e-05,0.000994544428504983,10,17.3785618776328,-4.75712375526561,12.6892773404452,5.95775944046716e-05,0.207
"284",0.522639856231063,8.24328767579732e-05,6.06765575148298e-05,NA,-0.00127580495342686,-7.66213095176127e-05,NA,NA,NA,0.000108637863833775,NA,NA,NA,9,15.2841663113743,-4.74224566622686,12.704155429484,5.91360384410579e-05,0.103
"1675",1.16457110155433,NA,0.000233378734352142,NA,-0.00122535919077081,NA,NA,NA,-0.000808817489007312,NA,0.000180485997515865,-4.13779567583417e-05,NA,9,15.2824877896936,-4.73888862286552,12.7075124728453,5.90368605778081e-05,0.106
"2354",0.550392144237693,7.9340731531245e-05,NA,NA,NA,-0.000108397294582013,0.000118153391993645,NA,NA,-9.51949177938249e-05,NA,NA,-0.0303226434145608,9,15.2818589390405,-4.73763092155928,12.7087701741515,5.8999746880185e-05,0.102
"287",0.77306741113584,NA,-0.000316226993722459,-0.000175512359692542,-0.00338876007619505,0.000315789876441969,NA,NA,NA,0.000510452117686047,NA,NA,NA,9,15.2807118267757,-4.73533669702958,12.7110643986812,5.89321063499738e-05,0.105
"633",0.912853581140699,NA,NA,NA,-0.00323764638701897,-6.06504640283585e-05,-0.000393129327615319,-1.58402289843586e-05,NA,NA,-6.01308606003994e-05,NA,NA,9,15.2788478059784,-4.73160865543506,12.7147924402757,5.88223579964954e-05,0.106
"729",0.738583611562843,NA,NA,NA,-0.00151423564788698,-0.000185498877865212,NA,-1.22478738227553e-05,0.00084018748440847,NA,-0.000160892486352461,NA,NA,9,15.2785005542409,-4.73091415196,12.7154869437508,5.88019353765759e-05,0.105
"2258",0.638194868599908,8.62375210283416e-05,NA,NA,NA,-9.32862241617929e-05,NA,-3.0116801580315e-06,-0.000297018949225073,NA,NA,NA,-0.0324197536847404,9,15.2754155134301,-4.72474407033853,12.7216570253723,5.86208085416836e-05,0.103
"2450",0.645146506610727,8.59306268410724e-05,NA,NA,NA,-9.19548584001628e-05,NA,NA,-0.000371345473912205,7.52410058073908e-05,NA,NA,-0.0327845422671364,9,15.2718563923432,-4.71762582816472,12.7287752675461,5.84125408307222e-05,0.103
"118",0.449829062776141,0.000103829083911359,NA,-0.000380324170655598,NA,0.000587358397742835,0.00124397813616166,-1.31007516705147e-05,NA,NA,NA,NA,NA,9,15.2690055775918,-4.71192419866192,12.7344768970489,5.82462546358429e-05,0.104
"2203",0.94058051996797,NA,0.00030724835098077,NA,-0.00181828890261832,-0.000167408740770826,NA,NA,-0.00065450607623602,NA,NA,NA,-0.0427380581409407,9,15.2653136813926,-4.70454040626347,12.7418606894473,5.80316119727497e-05,0.103
"2386",0.59693688789707,8.47421830206853e-05,NA,NA,NA,-9.17702867051107e-05,NA,-1.20021524646353e-05,NA,-0.000270579337671062,NA,NA,-0.0306489751120085,9,15.2652024774384,-4.7043179983551,12.7420830973557,5.80251589868363e-05,0.103
"1227",0.869043715861215,NA,-0.00221369766778952,NA,-0.00111037332497227,NA,NA,-4.12843060379e-05,0.0023010136610008,NA,NA,-2.67735790178645e-05,NA,9,15.2584883093424,-4.69088966216315,12.7555114335477,5.76368732820094e-05,0.105
"1338",1.02773425359257,9.06978159895444e-05,NA,NA,-0.00179731356483078,-0.000112776192805988,-0.00011834989410413,NA,NA,0.00036417305154269,NA,-2.64380961457652e-05,NA,10,17.3414386669113,-4.68287733382261,12.7635237618882,5.74064324055739e-05,0.205
"573",0.712072739699149,NA,NA,-0.000291305920484284,-0.00259589546061079,0.000542669509770361,0.000494563186321188,NA,NA,NA,-3.04241087896798e-05,NA,NA,9,15.253264057761,-4.68044115900036,12.7659599367104,5.73365489236786e-05,0.104
"2072",0.582945996089416,7.92670574897331e-05,-0.000177090149281475,3.17934849927503e-05,NA,-0.00016026027563631,NA,NA,NA,NA,NA,NA,-0.0332114896893376,9,15.2475019140326,-4.66891687154338,12.7774842241674,5.70071175149373e-05,0.101
"726",0.656762677732092,0.00015312598526056,NA,5.29125787862576e-05,NA,-0.000354566495582673,NA,-2.03357823380976e-05,0.00116129073628145,NA,-0.000277388828000833,NA,NA,10,17.3340541348271,-4.66810826965418,12.7782928260566,5.69840741420195e-05,0.207
"189",0.615333423714755,NA,NA,-0.000351879372838126,-0.00257590825720157,0.000653542364040761,0.000667067653524525,NA,0.000165973954530954,NA,NA,NA,NA,9,15.2422279099109,-4.65836886330012,12.7880322324107,5.6707253180133e-05,0.103
"2457",0.935790468226258,NA,NA,NA,-0.00178253217506087,-0.000161715906114972,NA,NA,-0.000487338844834716,0.000129147683988029,NA,NA,-0.0441472396452847,9,15.2417446166943,-4.65740227686684,12.788998818844,5.66798535708928e-05,0.102
"404",0.449843644452693,9.27976916026528e-05,0.0035538949810464,NA,NA,-7.53029922158747e-05,NA,NA,-0.00175941535493176,-0.0017946851048403,NA,NA,NA,9,15.2329215773979,-4.63975619827409,12.8066448974367,5.61819646720689e-05,0.101
"2132",0.610475503591266,8.43062264340432e-05,-0.00025125851182496,NA,NA,-9.16706737021858e-05,NA,-7.42331296966624e-06,NA,NA,NA,NA,-0.0316417204371234,9,15.2321232791439,-4.638159601766,12.8082414939448,5.61371326048236e-05,0.101
"126",0.818270338175783,0.000102907490760718,NA,-0.000545737506837623,-0.00365188948661109,0.000862641543391875,0.0012800970590867,-3.43043050033753e-05,NA,NA,NA,NA,NA,10,17.3151531805003,-4.63030636100068,12.8160947347101,5.59171356007395e-05,0.204
"2326",0.552428074824882,7.7885771396591e-05,NA,3.00541124055896e-05,NA,-0.00015381772682004,NA,NA,NA,-0.000105377077497188,NA,NA,-0.0304153661859499,9,15.2238310208658,-4.62157508520992,12.8248260105009,5.56735537165764e-05,0.099
"2134",0.557910547991566,8.62453517967204e-05,NA,3.26244734818708e-05,NA,-0.000187721663089764,NA,-4.77260884318296e-06,NA,NA,NA,NA,-0.0264751306450345,9,15.2192112024373,-4.61233544835277,12.834065647358,5.54169452058893e-05,0.098
"458",0.464228021907746,8.85025216191124e-05,NA,NA,-0.00134524194045205,NA,NA,-3.58287355153445e-05,0.000738009252877182,-0.000933520601624763,NA,NA,NA,9,15.2157286512879,-4.60537034605412,12.8410307496567,5.52242885227613e-05,0.1
"3595",0.960425378202142,NA,-0.000251010508030358,NA,-0.000965593244225619,NA,NA,NA,NA,NA,9.22318556832953e-05,-2.91314392150302e-05,-0.00893308041387806,9,15.2101513410837,-4.59421572564575,12.8521853700651,5.4917142854382e-05,0.101
"2394",1.0377320067586,0.000108757947053024,NA,NA,-0.0027701405083031,-0.000244901793887692,NA,-4.95528525523657e-05,NA,-0.000697480541182257,NA,NA,-0.0460747417858121,10,17.2855229528086,-4.57104590561717,12.8753551900936,5.42846037250336e-05,0.201
"3354",1.01589617634653,9.58437966552097e-05,NA,NA,-0.00136192070779854,-0.000136047325533269,NA,NA,NA,0.000343560057986445,NA,-2.74783360975313e-05,-0.00108969018588996,10,17.2762719152051,-4.55254383041012,12.8938572653007,5.37847305524338e-05,0.202
"982",0.457083935790664,0.000195947401574458,NA,0.000202124571386003,NA,-0.00086282231651265,NA,-0.000174976218163653,0.00563039543331108,-0.00418273761106918,-0.00042333993450348,NA,NA,11,19.5593406145649,-4.54725265770132,12.8991484380095,5.36426264604162e-05,0.306
"347",0.589431032264822,NA,0.00305758711366585,NA,-0.00218230345206807,-0.000159783776527195,NA,-6.10770883582267e-05,NA,-0.00308173724535291,NA,NA,NA,9,15.1841719973233,-4.54225703812486,12.904144057586,5.35088045833509e-05,0.1
"3186",1.10067002975089,0.000130198807727616,NA,NA,NA,-0.000228116639982457,0.000278552536640627,-2.41022291919132e-05,NA,NA,NA,-3.22208775317974e-05,-0.00500230417082802,10,17.2704989338587,-4.54099786771746,12.9054032279934,5.34751268343363e-05,0.204
"1266",1.08830464427193,0.000130282745165013,NA,NA,NA,-0.000223143631939946,0.000272126025871126,-2.46947754431383e-05,8.42693230969078e-05,NA,NA,-3.36926499094643e-05,NA,10,17.268920217765,-4.53784043553006,12.9085606601808,5.33907713951552e-05,0.204
"2324",0.592265806862827,7.92952905354455e-05,-0.00036103324680167,NA,NA,-7.95634092543417e-05,NA,NA,NA,0.000172889589942937,NA,NA,-0.0314853397531548,9,15.1740293512876,-4.52197174605347,12.9244293496573,5.29688267497846e-05,0.097
"1394",1.11482347455801,0.00013466538704716,NA,NA,NA,-0.000222414638595642,0.000287020414121177,-2.75807558644248e-05,NA,-6.3303306650215e-05,NA,-3.34980729140628e-05,NA,10,17.2606372086363,-4.52127441727262,12.9251266784382,5.29503616253471e-05,0.205
"795",0.659233780623739,NA,0.00132669598279476,NA,-0.00124409771474046,-0.000144416344647894,NA,NA,NA,-0.00062200553338878,-0.000127855205662738,NA,NA,9,15.1699923842994,-4.51389781207709,12.9325032836337,5.2755424383766e-05,0.099
"1650",1.09882922858767,0.000134967258086863,NA,NA,NA,-0.000222376669936642,0.000276523429146719,-2.51273458600478e-05,NA,NA,-1.08449379198766e-05,-3.21851676969535e-05,NA,10,17.2566696062732,-4.51333921254633,12.9330618831645,5.27406918636034e-05,0.205
"1140",1.10263678543922,0.00013231050967925,1.228447383385e-05,NA,NA,-0.000221294299320937,0.000275940690603801,-2.47345015458222e-05,NA,NA,NA,-3.34869315263433e-05,NA,10,17.2517491444116,-4.50349828882317,12.9429028068876,5.24818207058573e-05,0.204
"1142",1.1022429385473,0.000132677550796862,NA,-7.8822623500202e-06,NA,-0.000206665606936898,0.000300021245633289,-2.50618591741682e-05,NA,NA,NA,-3.33514920073409e-05,NA,10,17.2515776606389,-4.50315532127781,12.943245774433,5.24728216968596e-05,0.204
"1481",0.75987951552298,NA,NA,NA,-0.00108988538888738,NA,NA,-3.43322134665783e-05,0.00110943149408107,-0.00107314008335597,NA,-1.99884317370819e-05,NA,9,15.1629926117856,-4.49989826704949,12.9465028286613,5.23874378278133e-05,0.099
"461",0.689148701140481,NA,NA,-6.86673803974486e-05,-0.00295852869827871,NA,NA,-5.6171962103065e-05,0.00115580418185311,-0.00111618219045959,NA,NA,NA,9,15.1610332543755,-4.4959795522292,12.9504215434816,5.22848926074821e-05,0.099
"3849",0.916432533859266,NA,NA,NA,-0.000920603171793816,NA,NA,NA,NA,-0.0001081053561991,7.45214568160412e-05,-2.7965851464048e-05,-0.00389351013296924,9,15.1580022098104,-4.48991746309913,12.9564836326117,5.21266547021296e-05,0.098
"974",0.884320463859521,0.000138673565887485,NA,-0.000121851684819345,-0.00388355097285338,NA,NA,-8.91789890467838e-05,0.00241063773486646,-0.00155916564941512,-0.000250511672773879,NA,NA,11,19.5300246674935,-4.48862076355834,12.9577803321525,5.2092869351068e-05,0.302
"3158",1.1306332717411,0.000129011990124787,NA,9.17353201640866e-05,NA,-0.000392521350466086,NA,-2.32771272223193e-05,NA,NA,NA,-3.3682818710633e-05,-0.00536996500896348,10,17.2397818865189,-4.47956377303773,12.9668373226731,5.18575003749933e-05,0.203
"56",0.377823935503592,8.73571252393635e-05,0.000206837928494872,-0.000343835750696479,NA,0.000558193051760525,0.00108065081158022,NA,NA,NA,NA,NA,NA,9,15.1525667238801,-4.47904649123837,12.9673546044724,5.18440896387984e-05,0.097
"399",0.730026552232376,NA,0.00296639363026681,-6.11651419333891e-05,-0.0023361312680562,NA,NA,NA,-0.00155653401873471,-0.00130044890258904,NA,NA,NA,9,15.1495924548093,-4.47309795309691,12.9733031426139,5.16901204528838e-05,0.098
"2770",0.523797614407912,0.000151486597844036,NA,NA,NA,-0.000199067012065384,NA,-1.97299791278799e-05,0.00159731383907218,NA,-0.000318653674375042,NA,0.0204964337094462,10,17.2362302465395,-4.47246049307908,12.9739406026317,5.1673647885621e-05,0.203
"310",0.398931218023441,9.04440248586848e-05,NA,-0.000361774753631958,NA,0.000587657484784926,0.00113403321920779,NA,NA,0.000170783185352464,NA,NA,NA,9,15.1480533540617,-4.47001975160164,12.9763813441092,5.1610625341035e-05,0.097
"1238",1.11760493438564,0.000129264766947617,NA,8.92551000242011e-05,NA,-0.000382111257850922,NA,-2.39281309308969e-05,8.25084460796531e-05,NA,NA,-3.51813071496884e-05,NA,10,17.2345678081446,-4.46913561628919,12.9772654794216,5.15878149950837e-05,0.203
"1254",1.03131809452634,0.000129055372439832,NA,-0.000117410883401852,NA,NA,0.000604394983974034,-2.44112931388906e-05,8.83793240600141e-05,NA,NA,-3.10797215201814e-05,NA,10,17.230562286896,-4.46112457379208,12.9852765219187,5.13815921965782e-05,0.203
"1366",1.14753591790771,0.000133896756296251,NA,9.49962610027836e-05,NA,-0.000392419457408202,NA,-2.7122983176282e-05,NA,-7.11304470724201e-05,NA,-3.51150834194685e-05,NA,10,17.22932597133,-4.45865194266003,12.9877491530508,5.13181075859309e-05,0.203
"3174",1.04387509155649,0.000129438538803194,NA,-0.000119041527438172,NA,NA,0.000614785328096611,-2.39480263481293e-05,NA,NA,NA,-2.97714156214996e-05,-0.00409581018220198,10,17.2242284035731,-4.44845680714626,12.9979442885646,5.10571756794234e-05,0.202
"2702",0.687866128274723,9.9911914637794e-05,NA,-5.62863288686422e-05,-0.00167413327581635,NA,NA,NA,0.000716436325675538,NA,-0.000180321552977153,NA,-0.007945964468588,10,17.2240175540352,-4.44803510807044,12.9983659876404,5.10464114323827e-05,0.201
"1622",1.12894511857893,0.000133693284441574,NA,9.07486828120088e-05,NA,-0.000384024688716129,NA,-2.43392292884477e-05,NA,NA,-9.87395811544937e-06,-3.38250397931632e-05,NA,10,17.2221855037173,-4.4443710074347,13.0020300882761,5.09529774521019e-05,0.203
"1112",1.13303996946597,0.000131363529849376,8.57503035301763e-06,9.07003934962643e-05,NA,-0.000382982703954433,NA,-2.40496673799718e-05,NA,NA,NA,-3.5016035446466e-05,NA,10,17.2179878180549,-4.43597563610989,13.0104254596009,5.07395411518487e-05,0.202
"1638",1.04219309630805,0.000134047767434144,NA,-0.000116965598788313,NA,NA,0.00060761407109386,-2.48608073913531e-05,NA,NA,-1.17956659383881e-05,-2.94532334227517e-05,NA,10,17.2175716586339,-4.43514331726772,13.0112577784431,5.07184298069242e-05,0.203
"2331",0.877812594898282,NA,-0.000676637179723368,NA,-0.00164134624093947,-0.000144819661375276,NA,NA,NA,0.000401772592501594,NA,NA,-0.0440006695313563,9,15.129150853459,-4.43221475039622,13.0141863453146,5.06442179970926e-05,0.096
"1382",1.05533135276355,0.000132838232469938,NA,-0.000116482514280024,NA,NA,0.000613057070473737,-2.64431215054578e-05,NA,-4.29751789200468e-05,NA,-3.08743111395179e-05,NA,10,17.2155980889697,-4.43119617793936,13.0152049177715,5.06184321610598e-05,0.203
"1678",0.572233018269033,0.000107079227001715,NA,-5.89923170320795e-05,-0.00158650075575363,NA,NA,NA,0.00104886409608429,NA,-0.000241127717187024,5.21195510705033e-06,NA,10,17.2144025089678,-4.42880501793551,13.0175960777753,5.05579499387116e-05,0.201
"2192",1.05685604452888,9.61335060636243e-05,0.00114562713031327,-8.66414623166578e-05,-0.00310611675765152,NA,NA,NA,-0.0015663103439085,NA,NA,NA,-0.0347637312632332,10,17.2127190862558,-4.42543817251165,13.0209629231992,5.04729111357249e-05,0.197
"1128",1.0447098957451,0.000130908307351586,2.1795018875358e-05,-0.000116374821413776,NA,NA,0.000604468209577518,-2.42278304282314e-05,NA,NA,NA,-3.08682014465649e-05,NA,10,17.2125104849083,-4.42502096981653,13.0213801258943,5.04623835165228e-05,0.202
"1235",0.86750910461199,NA,-0.00139778069052641,NA,NA,-8.2727828195767e-05,NA,-3.06434483163808e-05,0.00169435703836607,NA,NA,-2.8690154435667e-05,NA,9,15.1233914310626,-4.42069590560352,13.0257051901073,5.0353374901794e-05,0.097
"3657",0.939791770681416,NA,NA,NA,-0.000942857329362444,NA,NA,-1.16833719282772e-06,NA,NA,7.4142626538099e-05,-3.06080437872042e-05,0.00338592838680287,9,15.1204684022725,-4.41484984802323,13.0315512476876,5.02064054399028e-05,0.096
"670",0.637621267439794,0.000102715927991282,NA,-5.77439416048804e-05,-0.00159024501599781,9.34908276719636e-06,NA,NA,0.000895966809072975,NA,-0.00020125990511357,NA,NA,10,17.2023238353179,-4.40464767063575,13.0417534250751,4.99509502165711e-05,0.201
"686",0.634438922413101,0.000103767435384624,NA,-5.56449399313754e-05,-0.00152850403890446,NA,1.13277204555983e-05,NA,0.000906547020734043,NA,-0.000203508342405565,NA,NA,10,17.2021130996076,-4.40422619921523,13.0421748964956,4.99404248766705e-05,0.201
"1132",1.06584822521593,9.47415790707525e-05,-0.000113393509604797,NA,-0.00274346134863746,NA,-0.00034387703731682,-1.85912782209002e-05,NA,NA,NA,-2.15000843712683e-05,NA,10,17.2021073731907,-4.40421474638146,13.0421863493293,4.99401388977972e-05,0.2
"667",0.676263159926445,NA,0.000245474854162921,NA,-0.00121746234094452,-0.000147220879641519,NA,NA,0.000557598943874052,NA,-0.000147709691487065,NA,NA,9,15.111256748789,-4.39642654105624,13.0499745546546,4.97460450259461e-05,0.096
"2446",1.10882055336166,9.47239728260103e-05,NA,-8.94414716163944e-05,-0.0031822258850866,NA,NA,NA,-0.00111085760688455,0.00064053210244695,NA,NA,-0.041255530043724,10,17.191549814708,-4.38309962941605,13.0633014662948,4.94156664068028e-05,0.196
"1386",1.0488093761263,9.39250517046182e-05,NA,NA,-0.00272012046933322,NA,-0.000340427948216484,-1.92502714505636e-05,NA,-9.46215277295053e-05,NA,-2.11986414039399e-05,NA,10,17.1911573345353,-4.38231466907061,13.0640864266402,4.93962755430301e-05,0.199
"3178",1.04782180043774,9.49363147591545e-05,NA,NA,-0.00267834064592873,NA,-0.000340360666563239,-1.70591027593464e-05,NA,NA,NA,-2.29337689568875e-05,0.00501442621536876,10,17.1911273069546,-4.3822546139091,13.0641464818017,4.93947923146463e-05,0.199
"1642",1.02279885481742,9.5097382102718e-05,NA,NA,-0.00272760777079442,NA,-0.000357745754333618,-1.56155378632448e-05,NA,NA,-1.99602815252647e-05,-1.87576192361166e-05,NA,10,17.1883566454414,-4.3767132908828,13.069687804828,4.9258125480826e-05,0.199
"1324",1.16339030078702,9.35532730865883e-05,-0.00114399497764022,NA,-0.0027406602979919,NA,-0.000379753380865732,NA,NA,0.00113187344839414,NA,-2.45294613969646e-05,NA,10,17.1845790599245,-4.36915811984908,13.0772429758617,4.90723997177594e-05,0.199
"3605",0.946333857290067,NA,NA,3.49027709538553e-05,NA,-0.000168069901790407,NA,NA,NA,NA,4.06187301954821e-05,-2.64125111212917e-05,-0.0132925094616159,9,15.0949596838889,-4.36383241125603,13.0825686844548,4.89419008941184e-05,0.095
"3633",0.931214852152478,NA,NA,NA,NA,-0.000103288416875228,0.000101679677993153,NA,NA,NA,4.03089304904326e-05,-2.56750498258796e-05,-0.0132386751204437,9,15.0933811235841,-4.3606752906464,13.0857258050644,4.8864704098054e-05,0.095
"1258",1.05119299363794,9.32820202303752e-05,NA,NA,-0.00271212688024683,NA,-0.000346402440524613,-1.59862856122796e-05,-6.26535863706541e-05,NA,NA,-2.12292721780865e-05,NA,10,17.180273334548,-4.36054666909608,13.0858544266147,4.88615616721025e-05,0.198
"921",0.661084516753931,NA,NA,NA,-0.00115931442710874,-0.000140612201533876,NA,NA,0.000739271694096519,8.90662234959973e-05,-0.000152362094769823,NA,NA,9,15.0915783083705,-4.35706966021924,13.0893314354916,4.87766894270312e-05,0.095
"1649",1.01615819967806,NA,NA,NA,NA,-0.000110528037088859,0.000124006903640778,-7.68623874577757e-06,NA,NA,6.9845371235916e-05,-3.41270087443449e-05,NA,9,15.085565472925,-4.3450439893282,13.1013571063826,4.84842831961794e-05,0.095
"111",0.790043784935842,NA,0.000114152632763811,-3.82755508464935e-05,-0.00315205352444346,NA,-0.000256043820352228,-1.40284124785768e-05,NA,NA,NA,NA,NA,9,15.083551770707,-4.34101658489224,13.1053845108186,4.83867485234219e-05,0.094
"698",0.641304931511982,0.000104838439875421,NA,NA,-0.00150543097229368,-0.000102952193847398,-0.000150794815320811,NA,0.000924795749143317,NA,-0.000209831793666825,NA,NA,10,17.1694803543264,-4.33896070865288,13.1074403870579,4.8337035495463e-05,0.199
"1621",1.03075720967146,NA,NA,4.12742799745559e-05,NA,-0.000184946759897409,NA,-7.43113017189498e-06,NA,NA,7.00112864215448e-05,-3.4891351818203e-05,NA,9,15.0817164817544,-4.3373460069871,13.1090550887237,4.82980262987691e-05,0.095
"237",0.788520868352724,NA,NA,-3.81750305433278e-05,-0.00316844927324804,NA,-0.000255594760455866,-1.6269779669316e-05,0.000102768332972688,NA,NA,NA,NA,9,15.0781424376164,-4.33019791871102,13.1162031769998,4.81257151282836e-05,0.094
"3621",0.905763307058744,NA,NA,-5.33820498838893e-05,NA,NA,0.000251615703507527,NA,NA,NA,4.08756445216545e-05,-2.46991451460813e-05,-0.0125934064399087,9,15.0767475051144,-4.327408053707,13.1189930420038,4.80586298046959e-05,0.094
"1637",0.987519583226254,NA,NA,-5.80304677402493e-05,NA,NA,0.000288099491395037,-7.56055432374932e-06,NA,NA,6.90748873534486e-05,-3.27379262991029e-05,NA,9,15.0736933106288,-4.32129966473582,13.125101430975,4.79120733224858e-05,0.094
